epoch,train_loss,test_loss
1,58.968997623697916,52.57348762207031
2,50.259051700846356,46.42499843139648
3,42.87603298339844,39.015478802490236
4,37.95235485839844,36.91533690795899
5,36.35841840820313,35.94339808959961
6,35.30585225016276,35.23959139404297
7,34.462641719563806,34.5192611328125
8,33.92792490234375,33.71894090576172
9,33.37509925130208,33.13188928833008
10,33.05436235758464,33.3630873840332
11,32.71800883789062,32.45431488037109
12,32.42440278320313,32.68714627685547
13,32.20067063802083,31.987600189208983
14,31.9798619913737,32.26903935546875
15,31.839278820800782,31.566444732666017
