epoch,train_loss,test_loss
1,73.2318013101346,65.09761300775069
2,62.249522816997605,57.160132585356505
3,52.19679559963853,49.11586291349387
4,48.2869310013826,46.09370525891268
5,46.0978393138243,45.35246609072142
6,44.60093569367171,43.83616826697241
7,43.543292801131065,43.12656813995748
8,42.8311834938033,41.7333090943928
9,42.2483296304471,41.24315590387659
10,41.79716799998334,41.21323682567741
11,41.5052469880647,40.603507311857197
12,41.18789697057403,40.72632529343231
13,40.86550979581723,40.85222674792326
14,40.60006692264126,40.248251466388942
15,40.373420722489673,39.738106797616692
