epoch,train_loss,test_loss
1,57.14948115234375,51.119837512207035
2,46.581090592447914,42.27058734130859
3,39.21038787841797,37.02010941772461
4,36.9825146484375,35.84994026489258
5,35.925991902669274,35.27761440429688
6,34.952254732259114,34.18774548339844
7,34.136249768066406,33.90108109741211
8,33.64856220703125,33.57535980834961
9,33.12066207682292,33.10871497802734
10,32.75426006266276,32.64181668701172
11,32.48091288655599,32.06151321716309
12,32.17492928059896,31.870571578979494
13,31.98766815999349,31.70118688354492
14,31.78225077311198,31.980121447753906
15,31.61096133626302,31.57895905456543
